Article_Url,Truth_Rating
https://abcnews.go.com/Politics/biden-address-nation-omicron-variant/story?id=81446129,mostly true
https://abcnews.go.com/Business/vaccine-makers-optimistic-producing-omicron-specific-shots-needed/story?id=81445686,mostly true
https://abcnews.go.com/Health/wireStory/china-donate-600-million-covid-19-vaccine-doses-81458247,mostly true
https://abcnews.go.com/International/wireStory/barbados-goodbye-queen-transforms-republic-81460578,mostly true
https://abcnews.go.com/Politics/wireStory/appeals-court-weigh-trump-arguments-withhold-records-81460613,mostly true
https://abcnews.go.com/International/wireStory/inflation-eurozone-hits-record-high-49-81462631,mostly true
https://abcnews.go.com/International/wireStory/barcelona-fire-kills-family-including-children-81462095,mostly true
https://abcnews.go.com/US/wireStory/california-father-arrested-kids-grandmother-killed-81460780,mostly true
https://abcnews.go.com/Health/wireStory/japan-confirms-case-coronavirus-variant-81461591,mostly true
https://abcnews.go.com/Politics/iran-returns-negotiations-nuclear-crisis-looming-large-biden/story?id=81448117,mostly true
https://abcnews.go.com/Entertainment/wireStory/bill-cosby-prosecutors-case-us-high-court-81453218,mostly true
https://abcnews.go.com/Health/wireStory/biden-vaccine-rule-health-workers-blocked-10-states-81450682,mostly true
https://abcnews.go.com/Politics/wireStory/actor-charged-riot-talked-staying-jail-81450284,mostly true
https://abcnews.go.com/Sports/wireStory/alabama-track-star-olympian-killed-shootout-81450460,mostly true
https://abcnews.go.com/Health/wireStory/1st-french-omicron-case-indian-ocean-island-reunion-81462205,mostly true
https://abcnews.go.com/Politics/wireStory/labor-official-confirms-election-amazon-workers-81453063,mostly true
https://abcnews.go.com/Sports/wireStory/lee-elder-1st-black-golfer-play-masters-dies-81447780,mostly true
https://abcnews.go.com/Politics/dayton-gunman-fantasized-mass-violence-years-fbi-report/story?id=81448601,mostly true
https://abcnews.go.com/US/nypd-officers-shot-bronx-gun-battle-authorities/story?id=81393150,mostly true
https://abcnews.go.com/US/death-14-year-florida-boy-ruled-homicide/story?id=81398082,mostly true
https://abcnews.go.com/US/grocery-store-owner-fed-thousands-free-thanksgiving-dinner/story?id=81397235,mostly true
https://abcnews.go.com/US/arbery-rittenhouse-cases-spotlight-defense-vigilantism/story?id=81278054,mostly true
https://abcnews.go.com/US/thriving-temple-university-senior-shot-dead-philadelphia-city/story?id=81443902,mostly true
https://abcnews.go.com/International/wireStory/mexicans-hope-recovery-monarch-butterflies-81436323,mostly true
https://abcnews.go.com/International/wireStory/mob-attacks-pakistan-police-fail-grab-blasphemy-suspect-81441212,mostly true
https://abcnews.go.com/International/flee-starve-climate-change-impacting-guatemala-reporters-notebook/story?id=81059330,mostly true
https://abcnews.go.com/International/wireStory/josephine-baker-1st-black-woman-honored-french-pantheon-81429402,mostly true
https://abcnews.go.com/International/wireStory/migrant-crisis-front-center-popes-greece-cyprus-trip-81462027,mostly true
https://abcnews.go.com/International/wireStory/mi6-spy-chief-china-russia-iran-top-uk-81463118,mostly true
https://abcnews.go.com/International/wireStory/german-court-rule-member-yazidi-girls-death-81462207,mostly true
https://abcnews.go.com/International/wireStory/uk-watchdog-orders-facebook-reverse-purchase-giphy-81462712,mostly true
https://abcnews.go.com/International/wireStory/cambodia-bars-entry-travelers-10-african-countries-81462308,mostly true
https://abcnews.go.com/International/wireStory/uk-watchdog-blocks-facebooks-acquisition-giphy-fears-stifle-81462710,mostly true
https://abcnews.go.com/International/wireStory/easyjet-omicron-variant-affecting-flight-bookings-81462709,mostly true
https://abcnews.go.com/US/turpin-daughter-escape-happened-died/story?id=81085858,mostly true
https://abcnews.go.com/US/wireStory/jones-sandy-hook-hoax-case-jury-hear-defenses-81454965,mostly true
https://abcnews.go.com/US/public-guardian-adult-turpin-siblings-cooperate-county-investigation/story?id=81431485,mostly true
https://abcnews.go.com/International/wireStory/swedes-elect-1st-female-pm-2nd-time-week-81443781,mostly true
https://abcnews.go.com/Business/vaccine-makers-optimistic-producing-omicron-specific-shots-needed/story?id=81445686,mostly true
https://abcnews.go.com/US/york-city-reinstates-mask-advisory-times-indoors-ahead/story?id=81452148,mostly true
https://abcnews.go.com/Politics/fresh-challenges-evade-policy-solutions-biden-note/story?id=81434277,mostly true
https://abcnews.go.com/Politics/iran-returns-negotiations-nuclear-crisis-looming-large-biden/story?id=81448117,mostly true
https://abcnews.go.com/Business/nissan-invest-176-billion-accelerate-electrification-plans-auto/story?id=81445685,mostly true
https://abcnews.go.com/International/wireStory/honduras-leftist-leader-present-opportunities-us-81466951,mostly true
https://abcnews.go.com/Politics/trumps-defense-secretary-mark-esper-sues-defense-department/story?id=81445699,mostly true
https://abcnews.go.com/Health/wireStory/fauci-fires-back-cruz-covid-claims-chinese-lab-81434562,mostly true
https://abcnews.go.com/Politics/trump-dont-blame-china-us-china-trade-imbalances/story?id=51030935,mostly true
https://abcnews.go.com/Politics/trump-administration-declassifying-unconfirmed-intel-china-offered-bounties/story?id=74988333,mostly true
https://abcnews.go.com/Technology/iphone-5s-5c-find-chinese-customers/story?id=20226563,mostly true
https://abcnews.go.com/Health/delta-suspends-us-flights-china-amid-coronavirus/story?id=68666037,mostly true
https://abcnews.go.com/International/north-korean-leader-kim-jong-reportedly-visits-china/story?id=55008853,mostly true
https://abcnews.go.com/International/china-marks-communist-party-centennial-warning-xi/story?id=78635827,mostly true
https://abcnews.go.com/International/dramatic-video-shows-deadly-explosion-rocked-tianjin-china/story?id=33076015,mostly true
https://abcnews.go.com/Politics/uss-china-policy-explained/story?id=43983884,mostly true
https://abcnews.go.com/Politics/china-1000-nuclear-warheads-2030-pentagon/story?id=80953429,mostly true
https://abcnews.go.com/International/chinese-fighter-jets-intercept-us-navy-reconnaissance-plane/story?id=48817492,mostly true
https://abcnews.go.com/International/china-hits-back-trumps-claim-election-meddling-calling/story?id=58115035,mostly true
https://abcnews.go.com/US/vice-president-mike-pence-warns-china-stand/story?id=58282875,mostly true
https://abcnews.go.com/International/satellite-data-suggests-coronavirus-hit-china-earlier-researchers/story?id=71123270,mostly true
https://abcnews.go.com/International/china-accuses-pentagon-blowhard-performance-port-snub/story?id=38875786,mostly true
https://abcnews.go.com/Technology/scientists-unearth-oldest-figurine-discovered-china/story?id=71237599,mostly true
https://abcnews.go.com/International/us-bombers-fly-east-south-china-seas-challenge/story?id=48505138,mostly true
https://abcnews.go.com/International/14-americans-evacuated-cruise-ship-japan-test-positive/story?id=69026322,mostly true
https://abcnews.go.com/Politics/us-navy-destroyers-sail-disputed-islands-claimed-china/story?id=62848215,mostly true
https://abcnews.go.com/Politics/us-sails-warships-past-disputed-island-chain-south/story?id=60981579,mostly true
https://abcnews.go.com/Technology/google-china-chinese-access-gmail-cut/story?id=27878768,mostly true
https://abcnews.go.com/International/460-million-chinese-residents-suffering-airpocalypse/story?id=44329107,mostly true
https://abcnews.go.com/Business/stunning-number-shows-ubers-growth-china-year/story?id=31723577,mostly true
https://abcnews.go.com/US/china-retaliate-us-orders-houston-consulate-close/story?id=71915337,mostly true
https://abcnews.go.com/International/international-rights-group-accuses-china-crimes-humanity/story?id=78176006,mostly true
https://abcnews.go.com/International/dramatic-rescue-syrian-refugee-sinking-boat-video/story?id=36834887,mostly true
https://abcnews.go.com/US/60-migrant-children-held-california-facilities-treated-covid/story?id=77530267,mostly true
https://abcnews.go.com/Politics/government-army-post-oklahoma-emergency-shelter-migrant-kids/story?id=63638634,mostly true
https://abcnews.go.com/International/dead-302-people-rescued-capsized-migrant-boat-mediterranean/story?id=39579449,mostly true
https://abcnews.go.com/International/france-begins-removing-thousands-squalid-jungle-refugee-camp/story?id=43013648,mostly true
https://abcnews.go.com/International/migrant-ship-death-toll-tops-100-expected-rise/story?id=20454601,mostly true
https://abcnews.go.com/International/euroskepticism-rise-europe/story?id=39701103,mostly true
https://abcnews.go.com/Politics/3rd-migrant-minor-dies-month-apprehended-us-mexico/story?id=63152524,mostly true
